,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
46125,EASLINE GUANGZHOU,352002306,-7.123254011138211,112.65487766951222,Panama,Tanker,Moored,2023-04-01 12:37:02,24,24,9249594,"Hong Kong, China","Hong Kong, China"
46126,TANTO KASIH,525113013,1.1791020253846154,103.97395810246154,Indonesia,Cargo,At Anchor,2023-04-01 12:42:02,14,13,9852391,Indonesia,Indonesia
46127,MARAN ARIADNE,241438000,1.2503168423684212,103.93013013144738,Greece,Tanker,At Anchor,2023-04-01 12:42:17,15,15,9770517,Liberia,Liberia
46128,AFRICAN TURACO,374270000,-1.25522505125,116.785513385,Panama,Cargo,At Anchor,2023-04-01 12:43:21,6,6,9701700,Netherlands,Panama
46129,MERIT,566701000,1.2669366699999998,103.94666822533334,Singapore,Tanker,Moored,2023-04-01 12:47:16,5,5,9656436,Singapore,Singapore
46130,NEW VOYAGE,477737900,1.2888305372580644,104.06941940806453,Hong Kong,Tanker,At Anchor,2023-04-01 12:54:07,12,12,9686364,"Hong Kong, China","Hong Kong, China"
46131,CEDRIC OLDENDORFF,636092975,-1.1954900227027028,116.78214896358108,Liberia,Cargo,Moored,2023-04-01 13:00:49,30,29,9591571,Germany,Germany
46132,MARLIN DUA,563882000,1.280452280877193,103.98264973754388,Singapore,Tanker,Moored,2023-04-01 13:05:56,9,8,9675121,Singapore,Singapore
46133,YANEE,357598000,1.7091738033185189,101.48438561351851,Panama,Tanker,At Anchor,2023-04-01 13:06:01,120,120,9401398,Thailand,Thailand
46134,HEERAA,566495000,1.0754442375531916,103.30608248234043,Singapore,Tanker,Moored,2023-04-01 13:11:02,22,20,9655389,Maldives,Maldives
46135,PERL,563711000,1.2945894111764706,103.99013333294116,Singapore,Tanker,At Anchor,2023-04-01 13:14:06,1,1,9503689,Singapore,Singapore
46136,SEA BOUNTIFUL,563147000,1.29166667,103.96166667,Singapore,Tanker,At Anchor,2023-04-01 13:23:50,21,9,9711860,Singapore,Singapore
46137,STOLT BISMUTH,636020429,1.7683333299999997,101.36166667,Liberia,Tanker,Moored,2023-04-01 13:24:11,34,31,9739290,Panama,Panama
46138,SPRING NELSON,477950800,-6.105390715720463,106.90665889755046,Hong Kong,Cargo,Moored,2023-04-01 13:27:24,43,43,9619567,"China, People's Republic Of","Hong Kong, China"
46139,PT REWIN,370393000,-1.0511193475603218,100.33842247563003,Panama,Other,At Anchor,2023-04-01 13:32:31,78,74,9469247,"Hong Kong, China","Hong Kong, China"
46140,NING FENG 316,538006689,-3.756427622589641,114.50243027916336,Marshall Islands,Cargo,At Anchor,2023-04-01 13:37:23,17,17,9438028,"Virgin Islands, British","Virgin Islands, British"
