date,Port,OperatorCountryofDomicileName,vessel_type,count
2023-08-03,MLD,Indonesia,Passenger,1
2023-01-20,PNJ,Indonesia,Tanker,2
2023-11-10,BPN,Indonesia,Other,5
2023-07-12,BPN,"China, People's Republic Of",Cargo,3
2023-01-25,DUM,Singapore,Tanker,2
2023-09-06,PNJ,Germany,Cargo,1
2023-11-02,SRG,Chinese Taipei,Cargo,1
2023-05-20,IBP,"Hong Kong, China",Cargo,2
2023-07-17,KOL,Indonesia,Passenger,1
2023-09-03,DUM,Indonesia,Other,1
2023-01-19,PNJ,Indonesia,Tanker,2
2023-01-11,SRG,Indonesia,Passenger,2
2023-08-22,SRG,Indonesia,Passenger,3
2023-03-24,BIT,Indonesia,Passenger,3
2023-09-08,PNJ,Indonesia,Cargo,1
2023-11-20,BDJ,Indonesia,Cargo,3
2023-09-11,SUB,Indonesia,Cargo,2
2023-06-04,BUR,Norway,Passenger,2
2023-09-24,MPG,Indonesia,Cargo,1
2023-12-18,IMW,Indonesia,Tanker,1
2023-02-25,GRE,Malaysia,Cargo,1
2023-01-08,TBY,Singapore,Tanker,1
2023-01-31,BPN,Singapore,Cargo,2
2023-09-16,TPR,Panama,Cargo,1
2023-07-13,MAK,United Arab Emirates,Sailing,1
2023-01-08,WNQ,Indonesia,Cargo,1
2023-08-20,TQP,Indonesia,Passenger,1
2023-08-14,BLU,Indonesia,Cargo,1
2023-07-03,TPR,Greece,Tanker,1
2023-02-15,LTU,Turkey,Tanker,1
2023-08-01,TPR,Indonesia,Tanker,2
2023-02-04,BLW,Indonesia,Cargo,3
2023-02-20,TPR,"China, People's Republic Of",Cargo,2
2023-07-25,PNJ,Indonesia,Passenger,1
2023-06-24,DUM,Indonesia,Passenger,2
2023-11-21,REO,Vietnam,Cargo,1
2023-12-15,BLW,"China, People's Republic Of",Cargo,1
2023-03-20,MKW,Vietnam,Cargo,1
2023-12-04,TPR,Chinese Taipei,Cargo,2
2023-04-20,TPR,"China, People's Republic Of",Cargo,1
2023-04-26,BMU,Indonesia,Passenger,1
2023-12-27,TQP,Indonesia,Passenger,1
2023-03-31,AEA,Indonesia,Other,1
2023-02-18,MLD,Indonesia,Cargo,1
2023-12-19,TPR,Denmark,Cargo,1
2023-09-13,TQP,Indonesia,Passenger,3
2023-04-18,TPR,"Hong Kong, China",Cargo,1
2023-04-25,CXP,Indonesia,Other,1
2023-03-05,TGP,Indonesia,Sailing,1
2023-07-28,TGP,Indonesia,Sailing,1
2023-11-08,TGP,Indonesia,Sailing,1
2023-01-03,BUR,Saudi Arabia,Passenger,1
2023-03-20,SRG,Bermuda,Passenger,1
2023-09-06,TPR,Philippines,Cargo,1
